id,name,host_id,host_name,neighbourhood,room_type,latitude,longitude,price,minimum_nights,availability_365,calculated_host_listings_count,number_of_reviews,number_of_reviews_ltm,reviews_per_month,last_review,host_response_rate,review_scores_rating,area_category,covid_period
27934,Nice room with superb city view,120437,Nuttee,Ratchathewi,Entire home/apt,13.75983,100.54134,1905,3,353,2,65,0,0.5,2020-01-06,100.0,4.86,Inner City,Pre-COVID
27979,"Easy going landlord,easy place",120541,Emy,Bang Na,Private room,13.66818,100.61674,1316,1,358,2,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
28745,modern-style apartment in Bangkok,123784,Familyroom,Bang Kapi,Private room,13.75232,100.62402,800,60,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,Din Daeng,Private room,13.78823,100.57256,1286,7,323,1,2,1,0.03,2022-04-01,100.0,4.83,Inner City,Recovery Period
941865,Suite Room 3 at MetroPoint,610315,Kasem,Bang Kapi,Private room,13.76872,100.63338,1905,1,365,3,0,0,0.0,1970-01-01,100.0,4.0,Middle City,Pre-COVID
1704776,NEw Pro!!  Bungalow Bkk Centre,2129668,Wimonpak,Bang Kho laen,Entire home/apt,13.69757,100.5288,1000,250,365,41,19,0,0.17,2017-08-03,100.0,4.76,Inner City,Pre-COVID
48736,Condo with Chaopraya River View,222005,Athitaya,Rat Burana,Private room,13.68556,100.49535,1558,3,365,1,1,0,0.01,2014-02-03,0.0,5.0,Middle City,Pre-COVID
1738669,1 chic bedroom apartment in BKK,7045870,Jiraporn,Chatu Chak,Entire home/apt,13.82925,100.56737,1461,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
1744248,"Batcave, Pool view, near Chatuchak",9181769,Nol,Chatu Chak,Entire home/apt,13.81693,100.56433,1558,3,365,1,10,0,0.09,2016-03-29,0.0,0.0,Inner City,Pre-COVID
952677,Standard Room Decor do Hostel,5171292,Somsak,Khlong San,Private room,13.7204,100.50757,700,2,87,10,4,0,0.03,2019-12-27,75.0,2.5,Inner City,Pre-COVID
55681,Sathorn Terrace Apartment(61),263049,Tor,Bang Rak,Private room,13.71934,100.5176,1150,2,320,7,27,0,0.19,2019-01-03,100.0,4.79,Inner City,Pre-COVID
1765918,2BR apt in a cozy neighborhood,9279712,Jing,Phaya Thai,Entire home/apt,13.77486,100.54272,1893,15,356,1,129,1,1.17,2022-09-30,100.0,4.78,Middle City,Recovery Period
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,Sathon,Hotel room,13.71802,100.51539,1862,2,361,7,208,0,1.44,2019-12-02,100.0,4.8,Inner City,Pre-COVID
59221,budget hotel bangkok near subway,284095,Mimi,Din Daeng,Entire home/apt,13.77941,100.57383,910,2,365,2,3,0,0.02,2018-07-30,0.0,0.0,Inner City,Pre-COVID
959254,"Deluxe Condo, Nana, Pool/GYM/Sauna",5153476,Natcha,Khlong Toei,Entire home/apt,13.71516,100.56806,1400,30,365,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,Phaya Thai,Private room,13.79152,100.53982,4156,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
1791481,Nice and Quiet condo near BTS Onnut,9399478,Piyakorn,Khlong Toei,Entire home/apt,13.70719,100.59936,1577,30,330,1,78,0,0.78,2019-05-31,0.0,4.84,Inner City,Pre-COVID
66046,"24Flr- 1br Apt near JJ, MRT, BTS",323158,Sue,Chatu Chak,Entire home/apt,13.82298,100.56484,122594,2,180,6,9,0,0.09,2020-03-04,0.0,0.0,Inner City,During COVID
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,Khlong Toei,Entire home/apt,13.73378,100.56303,5680,28,334,1,148,0,1.08,2020-01-07,0.0,4.77,Inner City,Pre-COVID
1793000,The Duplex - Asoke- Luxury 92sqm,9407280,Timo,Vadhana,Entire home/apt,13.74668,100.56137,5034,21,349,1,287,3,2.59,2022-11-22,100.0,4.86,Middle City,Recovery Period
960858,"New, Stylish & Luxury Studio Condo",3769704,Pat,Sai Mai,Private room,13.9077,100.64473,1500,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
113744,River View - Ivy Condo (1 Bedroom),578110,Muay,Rat Burana,Private room,13.68568,100.49231,1385,30,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
965722,Siamese Gioia on Sukhumvit 31,5265861,Chuchart,Vadhana,Private room,13.74444,100.57003,3775,30,364,1,3,0,0.05,2018-12-24,0.0,0.0,Middle City,Pre-COVID
1808600,Contemporary Modern Duplex-Thong Lo,9478184,Shine,Khlong Toei,Entire home/apt,13.72097,100.57823,2078,60,55,1,83,0,0.75,2018-09-12,0.0,4.99,Inner City,Pre-COVID
118118,Pan Dao Condo 5 min from BTS On Nut,596463,Dustin,Khlong Toei,Entire home/apt,13.70441,100.59968,1732,2,364,1,3,0,0.02,2013-10-09,0.0,0.0,Inner City,Pre-COVID
1816517,1 BR condominium center BKK +NETFLIX+55SQM,8492603,Sudhichai,Ratchathewi,Entire home/apt,13.75351,100.53308,2000,27,263,1,76,0,0.7,2018-04-05,0.0,4.73,Inner City,Pre-COVID
969792,1 penthouse in central Bangkok,5297436,Anya,Ratchathewi,Entire home/apt,13.7547,100.53268,3082,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,Bang Kapi,Private room,13.76747,100.63287,1190,1,365,3,0,0,0.0,1970-01-01,100.0,4.67,Middle City,Pre-COVID
145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,Lat Krabang,Private room,13.721868,100.771713,1329,1,349,1,28,13,0.28,2022-11-25,33.0,4.63,Outer City,Recovery Period
973830,BangLuang House1 @ Bangkok Thailand,5325919,วสวัตติ์,Bangkok Yai,Private room,13.73292,100.46413,2078,1,350,3,76,0,0.64,2019-12-31,100.0,4.81,Inner City,Pre-COVID
156583,Studio near Chula University/Silom walk to MRT/BTS,58920,Gael,Bang Rak,Entire home/apt,13.7285,100.52313,1176,7,95,2,63,2,0.47,2022-11-25,100.0,4.24,Inner City,Recovery Period
1823321,กรองทองแมนชั่น (ลาดพร้าว 81),9545111,Penjit,Wang Thong Lang,Private room,13.78938,100.6134,600,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,766443,Gerd,Vadhana,Entire home/apt,13.74293,100.55603,1659,3,207,3,212,7,1.58,2022-12-08,0.0,0.0,Middle City,Recovery Period
976690,Beautiful 1 BR apartment @BTS Ari,5344120,Nattavut,Phaya Thai,Entire home/apt,13.77931,100.54262,1400,15,336,4,90,2,0.77,2022-11-15,25.0,4.7,Middle City,Recovery Period
978531,Urban Oasis in the heart of Bangkok,5309669,Apiradee,Sathon,Entire home/apt,13.72291,100.53759,5429,2,174,3,3,0,0.03,2018-12-18,0.0,0.0,Inner City,Pre-COVID
166267,1Bed apt. near Chula University/Silom,58920,Gael,Bang Rak,Entire home/apt,13.72733,100.52555,1843,7,156,2,71,5,0.54,2022-11-30,100.0,4.45,Inner City,Recovery Period
169285,Stay at the ROARING RATCHADA!,806600,Frances,Huai Khwang,Private room,13.78118,100.58349,1316,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
978969,"60 m2 apartment in Thong Lor, Bangkok",5358785,Danny,Vadhana,Entire home/apt,13.73224,100.57803,1870,4,331,1,5,0,0.05,2019-11-10,0.0,4.83,Middle City,Pre-COVID
1842066,ICONSIAM River view  on 49th floor,9626074,Weera,Bang Rak,Private room,13.72287,100.51678,2500,180,88,1,15,0,0.14,2015-12-08,0.0,4.57,Inner City,Pre-COVID
169514,2br apt in Sukhumvit Asoke near BTS,729617,Kanchuya,Vadhana,Entire home/apt,13.74464,100.55784,1732,90,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
1849029,Self catering cozy1-bed near BTS,9652914,Jirasak,Vadhana,Entire home/apt,13.7137,100.59637,1300,30,365,1,7,0,0.06,2018-12-18,0.0,4.33,Middle City,Pre-COVID
1862089,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,1927968,Evan,Sathon,Entire home/apt,13.72062,100.54707,1200,1,355,37,419,1,3.77,2022-12-07,100.0,4.6,Inner City,Recovery Period
985743,Room with city view of BKK,5309669,Apiradee,Sathon,Private room,13.71803,100.54654,3500,3,363,3,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
988373,BangLuang House 2@ Bangkok Thailand,5325919,วสวัตติ์,Phasi Charoen,Entire home/apt,13.73122,100.46228,1795,1,339,3,95,10,0.8,2022-12-15,100.0,4.88,Middle City,Recovery Period
172332,Tranquility found in busy Bangkok near new skytran,822284,Rae And Charlie,Bang Sue,Entire home/apt,13.83148,100.52102,1000,3,145,7,21,0,0.17,2019-02-20,100.0,5.0,Inner City,Pre-COVID
1016487,Private room in Bangkok,5594281,Yodying,Chatu Chak,Private room,13.82148,100.58326,350,30,365,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
1862331,☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,8214044,Evan From Sanctuary House,Sathon,Entire home/apt,13.72073,100.5469,1450,1,350,8,268,7,2.59,2022-12-15,0.0,0.0,Inner City,Recovery Period
1862377,☞Downtown Central Studio-Bangkok MRT,8214044,Evan From Sanctuary House,Sathon,Entire home/apt,13.72063,100.54694,1200,1,331,8,310,9,3.0,2022-12-11,100.0,4.67,Inner City,Recovery Period
185364,Beautiful Wood Bangkok Resort House,889670,Narumon,Nong Chok,Entire home/apt,13.779,100.83671,8658,1,363,1,0,0,0.0,1970-01-01,0.0,0.0,Outer City,Pre-COVID
1887544,"""Serviced 2 Bed Scenic SkyVillas""",6132593,Salvatore,Sathon,Entire home/apt,13.72096,100.52911,3757,2,134,7,118,12,1.07,2022-11-30,100.0,4.91,Inner City,Recovery Period
1888303,Cozy 1BR rooftop (BTS Ploenchit) heart of bangkok,9821998,Pichanee,Khlong Toei,Entire home/apt,13.73782,100.55179,1490,5,16,1,11,0,0.15,2018-07-02,0.0,5.0,Inner City,Pre-COVID
1019241,Chic two bedroom for Monthly rental,3323622,Phoebe,Bang Rak,Entire home/apt,13.72687,100.52725,2701,30,0,1,104,0,0.89,2020-02-20,0.0,4.7,Inner City,Pre-COVID
241416,Sukhumvit52 near SkyTrain to BkkCBD,960892,Vajirune,Phra Khanong,Private room,13.70169,100.5977,2251,3,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
1026451,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",3346331,Bee,Sathon,Entire home/apt,13.71192,100.51535,866,2,320,7,472,29,4.02,2022-12-15,100.0,4.82,Inner City,Recovery Period
1028469,One Bedroom Suite- WIFI- SATHORN,2148220,Marvin,Sathon,Private room,13.71602,100.52663,2696,1,356,3,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
1028486,STUDIO RM2 - WIFI- SATHORN,2148220,Marvin,Sathon,Private room,13.71798,100.52841,1736,1,356,3,4,0,0.04,2014-11-12,0.0,4.75,Inner City,Pre-COVID
1035589,Quiet Double  Bed Apartment,4115838,Primrose,Thawi Watthana,Private room,13.79274,100.33377,1800,2,242,3,1,1,0.46,2022-10-25,80.0,5.0,Middle City,Recovery Period
1035640,Quiet Double Bed Apartment,4115838,Primrose,Thawi Watthana,Private room,13.79315,100.33356,1800,2,256,3,0,0,0.0,1970-01-01,80.0,3.0,Middle City,Pre-COVID
1897982,Suvarnabhumi free transfer,8362130,Luckana,Lat Krabang,Entire home/apt,13.72141,100.72946,1558,1,365,2,43,0,0.39,2020-03-03,0.0,4.14,Outer City,During COVID
