id,host_response_rate,review_scores_rating
27934,100%,4.86
27979,,
28745,,
35780,100%,4.83
48736,,5.0
55681,100%,4.79
55686,100%,4.8
62217,,
69046,75%,4.88
105042,0%,4.77
113744,,
121410,100%,4.67
145343,33%,4.63
156583,100%,4.24
159355,,
166267,100%,4.45
169285,,
169514,,
172332,100%,5.0
241416,,
296960,,4.9
313459,,
320014,100%,4.62
384924,,4.91
385130,100%,4.61
385278,,
385979,100%,4.79
390611,100%,4.57
393066,100%,4.52
397449,100%,4.62
407381,,4.75
413824,100%,4.54
428360,100%,4.56
428421,100%,4.79
428907,100%,4.53
428950,100%,4.61
430691,100%,4.68
430703,100%,4.66
430706,100%,5.0
432004,,4.29
439051,,4.83
441869,,
441870,,
449793,100%,4.55
449826,100%,4.64
450464,100%,4.64
527553,100%,5.0
534241,,
580270,100%,4.69
581755,,4.0
605314,100%,4.47
605343,100%,4.58
608624,100%,4.83
688013,86%,4.69
691478,,5.0
691526,,
691540,,
715652,,4.33
722291,100%,4.82
722660,,
723070,,4.5
729015,100%,4.94
736372,,
742693,100%,5.0
758483,100%,4.71
768019,,4.75
788043,100%,4.99
808870,,
811670,100%,4.48
818612,100%,5.0
820395,100%,4.79
822214,100%,4.86
837342,,
851956,100%,4.78
852063,100%,4.92
852308,,
858311,100%,4.83
858338,100%,4.57
861105,100%,4.88
863341,100%,4.32
863669,100%,4.68
866152,100%,
866329,100%,4.39
869715,,
873841,80%,
881208,100%,
884503,100%,5.0
888304,100%,4.89
889909,,5.0
906203,83%,
923795,,
931149,86%,4.67
933070,,
933092,,
941803,100%,
941865,100%,4.0
952677,75%,2.5
959254,,
960858,,
969792,,
973830,100%,4.81
976690,25%,4.7
978969,,4.83
988373,100%,4.88
1016487,,
1019241,,4.7
1026451,100%,4.82
1028469,,
1028486,,4.75
1035351,80%,
1035589,80%,5.0
1035640,80%,3.0
1041976,100%,4.91
1052180,100%,4.71
1057173,100%,4.63
1067748,100%,4.62
1079039,,
1086843,,
1088343,,4.76
1094136,100%,4.72
1103074,100%,0.0
1133843,,
1138679,100%,
1141969,,4.88
1151862,,
1155399,,
1160838,100%,4.82
1187726,,4.58
1218098,100%,4.7
1218842,100%,5.0
1227663,100%,4.86
1235695,,
1244333,,4.67
1255386,,
1296322,100%,4.46
1302302,100%,4.83
1316688,100%,4.86
1338281,100%,4.41
1338489,100%,4.55
1341114,100%,
1341890,100%,4.71
1344388,,
1350390,100%,4.55
1353517,100%,4.78
1394285,90%,3.92
1395513,90%,
1400351,90%,5.0
1404697,90%,
1405479,90%,
1405480,90%,
1406065,90%,
1412787,100%,4.72
1419797,100%,4.9
1420577,,0.0
1421233,,4.56
1440474,100%,5.0
1444053,,
1452584,,5.0
1453230,,
1457235,100%,4.77
1463101,,3.88
1485092,100%,3.0
1485265,100%,4.18
1504766,100%,4.94
1507375,,
1522068,100%,4.79
1526123,100%,4.62
1547429,,
1560067,,4.77
1571204,100%,4.82
1585084,80%,4.7
1589614,,
1621954,100%,4.68
1629978,100%,4.76
1630348,,4.44
1630813,100%,4.82
1630920,100%,4.55
1631106,100%,4.48
1638413,100%,4.47
1642375,100%,5.0
1645379,100%,4.83
1645397,100%,4.45
1647608,100%,4.07
1657411,,4.18
1661636,100%,4.71
1662207,0%,4.78
1665776,0%,5.0
1665970,0%,5.0
1666361,0%,2.0
1669918,0%,4.85
1685582,100%,4.67
1704776,100%,4.76
1765918,100%,4.78
1791481,,4.84
1793000,100%,4.86
1808600,,4.99
1816517,,4.73
1817644,100%,4.92
1821471,100%,4.65
1823321,0%,
1836007,90%,4.71
1842066,,4.57
1849029,,4.33
1862089,100%,4.6
1862377,100%,4.67
1882107,100%,4.74
1887544,100%,4.91
1888303,,5.0
1897982,,4.14
1898332,,
1920431,0%,1.0
1926489,100%,
1933894,100%,5.0
1936939,100%,4.71
1937830,100%,4.21
1943048,100%,4.87
1953657,100%,4.74
1961981,100%,4.53
1963939,0%,5.0
1975849,100%,4.73
1976962,,
1980886,,
1982413,100%,4.78
1986193,100%,4.95
2018775,100%,4.93
2018784,100%,
2064413,,
2065536,,
2065699,,
2067731,,5.0
2068795,100%,4.76
2068972,100%,5.0
2069445,100%,5.0
2070131,86%,4.49
2075095,0%,4.8
2077641,100%,4.33
2077825,100%,
2084034,100%,4.24
2112940,100%,3.2
2118606,0%,4.33
2124717,100%,4.9
2133513,100%,4.14
2135883,100%,4.99
2162578,92%,4.88
2166902,100%,4.73
2175246,,
2178237,96%,4.84
2199975,100%,4.95
2206432,100%,4.79
2234748,100%,4.2
2262721,100%,4.72
2266425,100%,4.57
2279684,100%,4.8
2286703,100%,4.69
2294502,100%,4.68
2297767,100%,4.82
2300491,80%,4.61
2321290,100%,4.87
2327076,100%,4.13
2332282,86%,4.74
2343774,,
2360167,100%,4.86
2368241,,4.23
2368635,100%,4.86
2368771,100%,3.67
2375378,100%,4.0
2390092,,
2394858,100%,4.52
2401250,100%,4.82
2401426,100%,4.57
2406004,100%,4.5
2407073,100%,4.65
2407610,100%,4.17
2409441,,5.0
2413865,100%,4.7
2426432,,4.9
2432614,100%,4.17
2433970,,4.25
2434974,100%,4.88
2437576,100%,4.82
2454945,100%,4.67
2455101,100%,4.32
2455998,100%,4.54
2461997,100%,4.8
2468232,100%,4.93
2468256,100%,4.57
2468803,100%,4.33
2469023,100%,4.33
2489610,,4.68
2492235,,4.57
2501026,100%,
2509710,100%,4.32
2516583,,5.0
2516683,100%,4.57
2526869,100%,4.25
2526921,100%,4.33
2533574,0%,
2541148,,4.5
2542746,96%,4.89
2547082,100%,
2548283,100%,4.75
2548310,100%,4.45
2561402,100%,4.17
2578949,,
2579342,100%,5.0
2586938,100%,4.0
2587195,100%,4.4
2590896,,
2604242,100%,5.0
2604483,100%,4.82
2637770,,
2656886,100%,4.86
2657480,100%,4.88
2682899,80%,4.88
2708302,100%,4.93
2712577,100%,5.0
2716261,100%,4.78
2720747,,5.0
2723621,100%,4.31
2726713,100%,4.85
2740249,,4.59
2753594,100%,4.62
2778874,100%,4.64
2778907,100%,4.53
2819341,100%,4.43
2827032,100%,4.26
2842313,,4.67
2870408,100%,4.78
2945910,100%,4.68
2960283,100%,5.0
2972032,100%,5.0
2983202,100%,4.38
2983684,100%,4.59
2988144,,
2996027,100%,4.3
2999242,100%,4.63
3006637,100%,4.57
3053245,100%,4.92
3085172,100%,4.79
3116621,,4.71
3147846,100%,4.5
3148114,100%,4.28
3168529,50%,4.74
3187701,,4.67
3209677,,
3209940,,
3211998,,
3255600,100%,3.0
3265276,,5.0
3270988,,4.69
3278592,100%,4.32
3304263,100%,4.46
3312018,100%,4.63
3349278,,4.24
3399974,100%,4.92
3406017,100%,4.62
3421487,100%,4.69
3428407,,
3431491,86%,4.74
3444406,100%,4.88
3452365,,
3458847,100%,4.5
3480807,100%,4.8
3495468,100%,4.63
3522687,100%,4.36
3532103,100%,4.49
3534365,100%,4.67
3534740,100%,4.37
3543320,,
3564919,,
3596797,100%,4.85
3607858,100%,
3611451,100%,4.85
3611516,100%,4.81
3611529,100%,4.77
3638728,,4.89
3638924,80%,4.58
3639111,100%,4.2
3656982,100%,4.65
3706125,100%,
3708615,,
3713433,100%,4.33
3713536,100%,4.4
3714702,100%,4.67
3716321,,
3732347,0%,5.0
3732371,,5.0
3732731,100%,4.6
3735012,100%,4.73
3747051,100%,4.61
3752774,,4.66
3761988,100%,4.9
3772295,100%,4.81
3772304,100%,4.93
3787176,100%,4.81
3794264,100%,4.92
3795275,,5.0
3804292,,
3813366,100%,4.6
3813738,100%,4.62
3847105,,
3851325,100%,4.88
3863870,0%,4.71
3872899,,4.83
3887919,100%,4.83
3891902,100%,4.62
3907522,,
3917160,,
3917240,,
3925181,100%,4.83
3925333,100%,4.8
3925370,100%,4.82
3925393,100%,4.76
3927786,93%,4.57
3936422,,
3940735,,
3941501,,
3951193,,4.86
3963138,100%,4.8
3963238,100%,4.45
3963355,0%,4.97
3982256,100%,4.85
4026520,100%,4.89
4039064,100%,5.0
4051601,93%,4.57
4054925,100%,4.4
4070339,90%,5.0
4078780,100%,4.33
4080470,100%,4.57
4081778,,
4094587,,4.0
4097834,100%,4.93
4100884,,5.0
4106042,100%,4.75
4113340,,4.67
4123832,97%,4.9
4124073,97%,4.88
4142228,97%,4.83
4142372,97%,4.94
4152520,97%,4.81
4153487,100%,4.81
4158983,,4.67
4178179,,
4184143,0%,4.87
4188313,,
4191911,100%,4.0
4206398,100%,4.25
4220414,,4.83
4228023,100%,4.66
4237812,100%,3.0
4238670,100%,4.64
4244264,100%,4.79
4248474,100%,4.8
4252589,,
4252695,,4.6
4264452,100%,4.49
4272623,100%,4.56
4272717,100%,4.65
4272808,100%,4.56
4297740,100%,5.0
4313485,,
4326012,,
4327609,100%,4.91
4344588,100%,5.0
4356761,,4.75
4367067,97%,4.77
4372581,96%,4.82
4374932,100%,4.86
4379681,100%,4.57
4388745,100%,4.48
4398507,,
4405871,,
4412914,100%,4.63
4425076,100%,4.76
4436540,100%,4.89
4443639,,
4450156,,
4453151,100%,4.67
4458066,,
4471377,100%,4.64
4472984,,4.79
4487407,,
4496229,,
4512873,,
4523599,0%,4.77
4524130,,
4526250,,
4533422,,
4541203,,
4544331,,5.0
4559898,100%,4.2
4568276,80%,4.67
4569633,100%,4.78
4571148,100%,4.74
4572647,100%,5.0
4579661,,
4584256,,
4599768,100%,4.45
4600057,100%,4.33
4612906,,4.33
4613388,100%,4.69
4621171,,
4625549,,
4625756,100%,4.03
4636072,100%,4.87
4641768,,4.5
4663946,,
4664652,100%,5.0
4664830,100%,4.55
4676181,,
4676624,100%,4.74
4681385,,
4682485,100%,5.0
4683534,100%,4.74
4687288,100%,4.93
4695837,50%,5.0
4696346,,
4696364,50%,
4711365,100%,4.55
4722388,100%,4.88
4731008,100%,4.7
4742911,,5.0
4753611,80%,4.58
4754686,100%,4.71
4756103,100%,4.76
4770768,75%,4.0
4771693,100%,4.93
4779271,100%,4.83
4779295,100%,4.35
4783950,100%,4.5
4786588,100%,4.7
4787354,,
